,num_ratings,num_users,num_movies,name,algo_name,rmse_all,rmse_non-boycott,rmse_boycott,rmse_all-like-boycott,mae_all,mae_non-boycott,mae_boycott,mae_all-like-boycott,prec10t4_all,prec10t4_non-boycott,prec10t4_boycott,prec10t4_all-like-boycott,prec5t4_all,prec5t4_non-boycott,prec5t4_boycott,prec5t4_all-like-boycott,rec10t4_all,rec10t4_non-boycott,rec10t4_boycott,rec10t4_all-like-boycott,rec5t4_all,rec5t4_non-boycott,rec5t4_boycott,rec5t4_all-like-boycott,ndcg10_all,ndcg10_non-boycott,ndcg10_boycott,ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_all-like-boycott,prec10t4_frac_all,prec10t4_frac_non-boycott,prec10t4_frac_boycott,prec10t4_frac_all-like-boycott,prec5t4_frac_all,prec5t4_frac_non-boycott,prec5t4_frac_boycott,prec5t4_frac_all-like-boycott,rec10t4_frac_all,rec10t4_frac_non-boycott,rec10t4_frac_boycott,rec10t4_frac_all-like-boycott,rec5t4_frac_all,rec5t4_frac_non-boycott,rec5t4_frac_boycott,rec5t4_frac_all-like-boycott,ndcg10_frac_all,ndcg10_frac_non-boycott,ndcg10_frac_boycott,ndcg10_frac_all-like-boycott,ndcg5_frac_all,ndcg5_frac_non-boycott,ndcg5_frac_boycott,ndcg5_frac_all-like-boycott,ndcgfull_frac_all,ndcgfull_frac_non-boycott,ndcgfull_frac_boycott,ndcgfull_frac_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_all-like-boycott
0000_KNNBaseline_item_msd,515247,3040,3596,3000 user sample,KNNBaseline_item_msd,0.9419289253510001,0.9001550030080254,0.9843672414101772,0.9843672414101772,0.7429328769701542,0.707637327223462,0.7804325696781913,0.7804325696781913,0.8835497725860648,0.8872934714909395,0.8797592674081078,0.8797592674081078,0.8572954798756491,0.8642485027829693,0.8502584237003878,0.8502584237003878,0.6344628885306449,0.6304595712311254,0.6385095458344051,0.6385095458344051,0.4359616499465099,0.4344044241581192,0.4375324006426182,0.4375324006426182,0.7801359075353118,0.7842584191125253,0.7759648218646384,0.7759648218646384,0.7716887671422384,0.777507310298577,0.7658276150548257,0.7658276150548257,0.9043909669006963,0.9068668199421228,0.9018823891455667,0.9018823891455667,0.9918813211465703,0.9913087920936798,0.9924612621959887,0.9924612621959887,0.9918813211465703,0.9913087920936798,0.9924612621959887,0.9924612621959887,0.9918813211465703,0.9913087920936798,0.9924612621959887,0.9924612621959887,0.9918813211465703,0.9913087920936798,0.9924612621959887,0.9924612621959887,0.7259264279026773,0.724981662376525,0.726883786676922,0.726883786676922,0.9243823432571798,0.9214512426731737,0.9273515834840739,0.9273515834840739,1.0,1.0,1.0,1.0,8.092845392227172,8.092845392227172,8.092845392227172,8.092845392227172,37.685417890548706,75.2372673511505,77.58219194412231,79.80095186233521,200041.8,103049.4,96992.4,96992.4
0000_SVD,515247,3040,3596,3000 user sample,SVD,0.9384509995788521,0.89366664606617,0.9837970302394112,0.9837970302394112,0.740815181807563,0.702891128158144,0.7811075236108672,0.7811075236108672,0.88372599743717,0.8878723357657483,0.8795278242704384,0.8795278242704384,0.8582289776695976,0.866152152111928,0.8502144487144416,0.8502144487144416,0.6344969753035675,0.6305552658937084,0.6384814029280375,0.6384814029280375,0.4361515926696925,0.43471219765395547,0.4376064715470342,0.4376064715470342,0.7786111667107447,0.7834010444079211,0.7737635382547345,0.7737635382547345,0.7700261052653831,0.7761294966490981,0.7638738617000839,0.7638738617000839,0.9038498933590684,0.9063249643496023,0.901341978944777,0.901341978944777,0.9918813211465703,0.9913087920936798,0.9924612621959887,0.9924612621959887,0.9918813211465703,0.9913087920936798,0.9924612621959887,0.9924612621959887,0.9918813211465703,0.9913087920936798,0.9924612621959887,0.9924612621959887,0.9918813211465703,0.9913087920936798,0.9924612621959887,0.9924612621959887,0.7259264279026773,0.724981662376525,0.726883786676922,0.726883786676922,0.9243823432571798,0.9214512426731737,0.9273515834840739,0.9273515834840739,1.0,1.0,1.0,1.0,23.73094081878662,23.73094081878662,23.73094081878662,23.73094081878662,3.6428897380828857,6.578957271575928,8.379380893707275,10.687923192977905,200041.8,103049.4,96992.4,96992.4
0001_KNNBaseline_item_msd,494966,3040,3633,3000 user sample,KNNBaseline_item_msd,0.9437647429146493,0.8977235940315234,0.9867874390233752,0.9867874390233752,0.743921313065547,0.7055024623507798,0.7815587001445895,0.7815587001445895,0.8830747861950682,0.88880389552435,0.8772619949843431,0.8772619949843431,0.8579995242628005,0.8648231376464486,0.8510765604310029,0.8510765604310029,0.6343951195793835,0.6404942926468632,0.6282066879267401,0.6282066879267401,0.4373977249364991,0.4423268446397822,0.4323966969751116,0.4323966969751116,0.7793920919986632,0.7862950857556927,0.7724071476067225,0.7724071476067225,0.7723258022726915,0.7785717437810022,0.7659970320580823,0.7659970320580823,0.9046908521024847,0.9067927872183237,0.902561698689143,0.902561698689143,0.9920470712724739,0.9928881728009766,0.9911953083760853,0.9911953083760853,0.9920470712724739,0.9928881728009766,0.9911953083760853,0.9911953083760853,0.9920470712724739,0.9928881728009766,0.9911953083760853,0.9911953083760853,0.9920470712724739,0.9928881728009766,0.9911953083760853,0.9911953083760853,0.722471047503727,0.7220288883319689,0.722918713620573,0.722918713620573,0.9256058449731505,0.925387059078149,0.9258268210817882,0.9258268210817882,1.0,1.0,1.0,1.0,7.356801080703735,7.356801080703735,7.356801080703735,7.356801080703735,36.493105792999266,71.32074055671691,73.2650315284729,75.42304725646973,200041.8,98993.2,101048.6,101048.6
0001_SVD,494966,3040,3633,3000 user sample,SVD,0.9406553997509738,0.8919939551106439,0.9860000859671088,0.9860000859671088,0.7418851348555024,0.7010957032890748,0.781844881848048,0.781844881848048,0.8833035163017705,0.8890835931820786,0.8774387210598762,0.8774387210598762,0.857914351527949,0.865074440647977,0.8506492685100842,0.8506492685100842,0.6342934067202639,0.6401620416466659,0.6283393141524146,0.6283393141524146,0.4373702121048268,0.4424105576907732,0.4322560065762274,0.4322560065762274,0.7772660008210651,0.7839165724645134,0.7705379200479666,0.7705379200479666,0.7704138720887194,0.7759936317769028,0.764760696006356,0.764760696006356,0.9040266344658775,0.905868205448575,0.9021612140821951,0.9021612140821951,0.9920470712724739,0.9928881728009766,0.9911953083760853,0.9911953083760853,0.9920470712724739,0.9928881728009766,0.9911953083760853,0.9911953083760853,0.9920470712724739,0.9928881728009766,0.9911953083760853,0.9911953083760853,0.9920470712724739,0.9928881728009766,0.9911953083760853,0.9911953083760853,0.722471047503727,0.7220288883319689,0.722918713620573,0.722918713620573,0.9256058449731505,0.925387059078149,0.9258268210817882,0.9258268210817882,1.0,1.0,1.0,1.0,22.561860132217408,22.561860132217408,22.561860132217408,22.561860132217408,3.517186498641968,5.960670518875122,8.067936754226684,10.212831354141235,200041.8,98993.2,101048.6,101048.6
0002_KNNBaseline_item_msd,492901,3040,3642,3000 user sample,KNNBaseline_item_msd,0.9476603863116757,0.8952411891099963,0.9959502092381781,0.9959502092381781,0.7463730886723217,0.7037920685650544,0.787744854523981,0.787744854523981,0.883734277102578,0.892385973317999,0.8749722605797411,0.8749722605797411,0.8578899898255061,0.8663972537507659,0.8492791655774475,0.8492791655774475,0.634484020117082,0.6405420961850523,0.6283480620400035,0.6283480620400035,0.43686468019191704,0.44112571771973014,0.4325505119744599,0.4325505119744599,0.7799148466894072,0.78949503314353,0.7703008538303633,0.7703008538303633,0.7724361775511139,0.7813191414580303,0.7634263912844641,0.7634263912844641,0.9046344432047141,0.9075816037426462,0.9016463907678676,0.9016463907678676,0.9920796838199774,0.9915736391750689,0.9925923673833463,0.9925923673833463,0.9920796838199774,0.9915736391750689,0.9925923673833463,0.9925923673833463,0.9920796838199774,0.9915736391750689,0.9925923673833463,0.9925923673833463,0.9920796838199774,0.9915736391750689,0.9925923673833463,0.9925923673833463,0.724019633929358,0.720361460802301,0.7277277208563158,0.7277277208563158,0.9245431099584372,0.9246265949052104,0.924458565806091,0.924458565806091,1.0,1.0,1.0,1.0,7.4286925315856935,7.4286925315856935,7.4286925315856935,7.4286925315856935,34.19304347038269,68.27079548835755,70.15084714889527,72.3267972946167,200041.8,98580.2,101461.6,101461.6
0002_SVD,492901,3040,3642,3000 user sample,SVD,0.9449918758449927,0.8901700175544367,0.9953678101695692,0.9953678101695692,0.7447016806064051,0.6997866538270331,0.7883411709787405,0.7883411709787405,0.8837898552849517,0.8931467402655446,0.8743143528067865,0.8743143528067865,0.8576783920766176,0.8666362789090831,0.8486106085263421,0.8486106085263421,0.6344763866099115,0.6407601319126314,0.6281121564693163,0.6281121564693163,0.43673512267336856,0.44099814260235026,0.4324177977591656,0.4324177977591656,0.7767233463310169,0.7858289800159688,0.767583866378651,0.767583866378651,0.7690154589175329,0.7768839067426956,0.7610407937739644,0.7610407937739644,0.9036570170868712,0.9063230083333236,0.9009541234196258,0.9009541234196258,0.9920796838199774,0.9915736391750689,0.9925923673833463,0.9925923673833463,0.9920796838199774,0.9915736391750689,0.9925923673833463,0.9925923673833463,0.9920796838199774,0.9915736391750689,0.9925923673833463,0.9925923673833463,0.9920796838199774,0.9915736391750689,0.9925923673833463,0.9925923673833463,0.724019633929358,0.720361460802301,0.7277277208563158,0.7277277208563158,0.9245431099584372,0.9246265949052104,0.924458565806091,0.924458565806091,1.0,1.0,1.0,1.0,26.472907924652098,26.472907924652098,26.472907924652098,26.472907924652098,4.247345685958862,7.47965440750122,10.18495192527771,12.571825122833252,200041.8,98580.2,101461.6,101461.6
0003_KNNBaseline_item_msd,498008,3040,3657,3000 user sample,KNNBaseline_item_msd,0.9445737518965831,0.8988937358193214,0.9877873391378623,0.9877873391378623,0.7444979445487446,0.7072113397398282,0.7814732344337064,0.7814732344337064,0.8830841562277021,0.8888886745259381,0.8772113071454081,0.8772113071454081,0.8574252253598382,0.8641895515637866,0.8505809957942079,0.8505809957942079,0.6341111652508902,0.6373785151452097,0.6308052838048831,0.6308052838048831,0.436266511473554,0.4408374524663146,0.4316412296237376,0.4316412296237376,0.7797045831207072,0.7859728315219726,0.7734585956889628,0.7734585956889628,0.7716294588766714,0.7781766762776103,0.7650421938811722,0.7650421938811722,0.904423307355929,0.9061342547323374,0.9026899958349268,0.9026899958349268,0.9915816496183435,0.990978153782302,0.9921931933260358,0.9921931933260358,0.9915816496183435,0.990978153782302,0.9921931933260358,0.9921931933260358,0.9915816496183435,0.990978153782302,0.9921931933260358,0.9921931933260358,0.9915816496183435,0.990978153782302,0.9921931933260358,0.9921931933260358,0.7246688651444704,0.7188663754075422,0.7305478685835061,0.7305478685835061,0.9237016235434046,0.9203806378265545,0.9270657073563061,0.9270657073563061,1.0,1.0,1.0,1.0,7.704668378829956,7.704668378829956,7.704668378829956,7.704668378829956,38.76881470680237,73.89455695152283,76.01202793121338,78.55991539955139,200041.8,99601.6,100440.2,100440.2
0003_SVD,498008,3040,3657,3000 user sample,SVD,0.9423991098481489,0.8949044347298267,0.9872427068501837,0.9872427068501837,0.7430644596085024,0.7036610143861364,0.7821389145599454,0.7821389145599454,0.8831926539113854,0.8893664486554457,0.8769451849033425,0.8769451849033425,0.8570459563935314,0.8631456340799591,0.8508731686652513,0.8508731686652513,0.633975656284772,0.6372283140780066,0.6306840031800008,0.6306840031800008,0.4365666182597908,0.44108079005608963,0.43199812164325413,0.43199812164325413,0.7775761346603076,0.7837916224994216,0.7713791997304792,0.7713791997304792,0.7693393060776195,0.7754369749896666,0.7632075195680221,0.7632075195680221,0.903941638510509,0.9058539186344048,0.9020044090332764,0.9020044090332764,0.9915816496183435,0.990978153782302,0.9921931933260358,0.9921931933260358,0.9915816496183435,0.990978153782302,0.9921931933260358,0.9921931933260358,0.9915816496183435,0.990978153782302,0.9921931933260358,0.9921931933260358,0.9915816496183435,0.990978153782302,0.9921931933260358,0.9921931933260358,0.7246688651444704,0.7188663754075422,0.7305478685835061,0.7305478685835061,0.9237016235434046,0.9203806378265545,0.9270657073563061,0.9270657073563061,1.0,1.0,1.0,1.0,23.154225492477416,23.154225492477416,23.154225492477416,23.154225492477416,3.7195018768310546,6.341962766647339,8.07899751663208,10.127570104598998,200041.8,99601.6,100440.2,100440.2
0004_KNNBaseline_item_msd,502610,3040,3627,3000 user sample,KNNBaseline_item_msd,0.93864738991028,0.8986519198362357,0.9773815517804362,0.9773815517804362,0.7407973384136448,0.7059988309416387,0.7759462738294574,0.7759462738294574,0.8828184702486925,0.8857467967280203,0.8798506069124823,0.8798506069124823,0.8577267646449165,0.862075298182944,0.8533207642046798,0.8533207642046798,0.6342451351727872,0.6344538939425439,0.6340314999966632,0.6340314999966632,0.4372533638352393,0.4381926028697106,0.43630021232682265,0.43630021232682265,0.7796516628248288,0.7841955033932313,0.7750222938271971,0.7750222938271971,0.7718996882483105,0.7761767966665131,0.7675698661645021,0.7675698661645021,0.9045579300544192,0.9055717220312459,0.9035303118674005,0.9035303118674005,0.9920152590598557,0.9920351212165915,0.9919953729707343,0.9919953729707343,0.9920152590598557,0.9920351212165915,0.9919953729707343,0.9919953729707343,0.9920152590598557,0.9920351212165915,0.9919953729707343,0.9919953729707343,0.9920152590598557,0.9920351212165915,0.9919953729707343,0.9919953729707343,0.7239840874723742,0.7251839754466893,0.7227673776623371,0.7227673776623371,0.9241298375055831,0.923117618859154,0.9251553745516731,0.9251553745516731,1.0,1.0,1.0,1.0,7.432248210906982,7.432248210906982,7.432248210906982,7.432248210906982,34.34856266975403,68.44292664527893,70.80006470680237,72.91379637718201,200041.8,100522.0,99519.8,99519.8
0004_SVD,502610,3040,3627,3000 user sample,SVD,0.9352874154353547,0.8918524990316385,0.9771982898452108,0.9771982898452108,0.7389721683912991,0.7013787843137617,0.7769441284456283,0.7769441284456283,0.8837555907322237,0.8879327840937871,0.8795220679168084,0.8795220679168084,0.8587541491564983,0.8641087738044566,0.8533290701409179,0.8533290701409179,0.6346333657753617,0.6354896835924763,0.6337633536669005,0.6337633536669005,0.43738279957567305,0.4384127711188649,0.4363377963996836,0.4363377963996836,0.778413438353291,0.7830469525385725,0.7736941442140903,0.7736941442140903,0.770229791544639,0.7741541320656596,0.7662570704041419,0.7662570704041419,0.9042534611752149,0.9052022144366176,0.9032917913934133,0.9032917913934133,0.9920152590598557,0.9920351212165915,0.9919953729707343,0.9919953729707343,0.9920152590598557,0.9920351212165915,0.9919953729707343,0.9919953729707343,0.9920152590598557,0.9920351212165915,0.9919953729707343,0.9919953729707343,0.9920152590598557,0.9920351212165915,0.9919953729707343,0.9919953729707343,0.7239840874723742,0.7251839754466893,0.7227673776623371,0.7227673776623371,0.9241298375055831,0.923117618859154,0.9251553745516731,0.9251553745516731,1.0,1.0,1.0,1.0,26.533625316619872,26.533625316619872,26.533625316619872,26.533625316619872,4.150947856903076,7.505321979522705,9.55364670753479,12.007662343978883,200041.8,100522.0,99519.8,99519.8
